persona_id;codigo_promocional;fecha_registro
142;ZBYTFR084G;2026-04-15 18:04:14
336;BCCKZX0991;2026-04-20 13:45:29
336;BBCJZX099E;2026-04-20 13:52:09
95;s2AXCM089B;2026-04-21 20:23:22
414;5YEHMW206G;2026-04-23 11:10:23
336;MEPCNY104N;2026-04-24 08:14:44
504;CNUXFY087A;2026-04-24 17:33:12
494;F1RKIS037D;2026-04-25 16:17:05
562;CNRKND087M;2026-04-26 13:09:27
501;F1UHIH096U;2026-04-26 14:11:05
501;F1JRIE096O;2026-04-26 14:33:16
501;F1CLIO085U;2026-04-26 14:41:12
501;F1WPJE0780;2026-04-26 14:52:10
501;F1UDOA078P;2026-04-26 15:06:27
501;F1IMCO025F;2026-04-26 15:13:12
501;F1VFGJ078U;2026-04-26 15:24:01
501;F1INCK085I;2026-04-26 15:57:45
501;10GHRS082K;2026-04-26 16:00:51
501;F1DKJE0781;2026-04-26 16:01:44
501;F1CJHM085V;2026-04-26 16:03:19
501;F1CDHK0358;2026-04-26 16:04:05
501;1MUTHK078J;2026-04-26 16:07:35
501;FLVFGI078W;2026-04-26 16:09:21
501;FLVRIA078T;2026-04-26 16:17:28
562;BAJVCW096G;2026-04-27 00:02:53
49;24DYyu1050;2026-04-27 06:42:11
501;F1VFGF078U;2026-04-27 10:44:22
501;FLVZCM082Z;2026-04-27 11:03:14
501;F1NBMN0900;2026-04-27 12:53:59
501;F1NBRM080R;2026-04-27 12:55:30
336;MEPCRY104R;2026-04-28 08:29:39
420;H9BCDJ104Q;2026-04-29 11:49:00
720;LXZRED074H;2026-05-01 12:37:58
819;FLHNAP107T;2026-05-03 18:15:22
788;0KVLYX107O;2026-05-04 17:00:20
